Title,Author,ISBN,ISBN13,My Rating,Date Read,Date Added,Bookshelves,Exclusive Shelf,Original Entry
Anything for a Friend,Kathleen M. Willett,,9781662513091,,2024/03/03,2024/03/03,read,read,Anything for a friend Kathleen Willett
The wedding party,Robyn Carr,1551668394,9781408996164,,2024/03/04,2024/03/04,read,read,The wedding party L B Jones
Likely Suspects,G. K. Parks,0989195805,9780989195805,,2024/03/06,2024/03/06,read,read,Likely suspects G K Parks
the Poison Garden,A. J. Banner,,9781542004237,,2024/03/07,2024/03/07,read,read,The poison garden A J Banner
After nightfall,A. J. Banner,1543681352,9781503900813,,2024/03/08,2024/03/08,read,read,After nightfall A J Banner
In Another Light,A. J. Banner,1713614812,9781542031103,,2024/03/09,2024/03/09,read,read,In another light A J Banner
The good neighbor,A. J. Banner,,9781503944435,,2024/03/11,2024/03/11,read,read,The good neighbor A J Banner
Nora Goes off Script,Annabel Monaghan,,9781432897406,,2024/03/12,2024/03/12,read,read,Nora goes off script Annabel Monaghan
Veronica Ruiz Breaks the Bank,Elle Cosimano,,9781250343314,,2024/03/14,2024/03/14,read,read,Veronica Ruiz Breaks the Bank Elle Cosimano
Repo Girl Homecoming,Jane Fenton,1960457004,9781732116597,,2024/03/21,2024/03/21,read,read,Repo Girl Jane Fenton
You don't want to know,Lisa Jackson,075827839X,9781444757149,,2024/03/22,2024/03/22,read,read,You don’t want to know Lisa Jackson
Don't Forget Me,Rea Frey,,9781662513237,,2024/03/23,2024/03/23,read,read,Don’t forget me Rea Frey
A Repo Girl Christmas,Jane Fenton,,9781732116566,,2024/03/24,2024/03/24,read,read,A repo girl Christmas Jane Fenton
Aftermath,Terri Blackstock,1713598264,9780310345978,,2024/03/26,2024/03/26,read,read,Aftermath Terri Blackstock
The Lodge,Sue Watson,,9781837904419,,2024/03/27,2024/03/27,read,read,The Lodge Sue Watson
The Next Wife,Kaira Sturdivant Rouda,1713559501,9781713559504,,2024/03/28,2024/03/28,read,read,the next wife Kaira Rouda
Best friends forever,Margot Hunt,,9781474074735,,2024/03/29,2024/03/29,read,read,Best friends forever Margot hunt
Summer Reading,Jenn McKinlay,180494503X,9798891641181,,2024/03/31,2024/03/31,read,read,summer reading Jenn Mckinlay
The Stranger in the Mirror,Liv Constantine,0062967320,9780008363864,,2024/04/01,2024/04/01,read,read,The stranger in the mirror Liv Constantine
Keep Your Friends Close,Leah Konen,0593544722,9780593544723,,2024/04/02,2024/04/02,read,read,Keep your friends close Leah Konen
The unquiet bones,Melvin R. Starr,,9781782640660,,2024/04/03,2024/04/03,read,read,The Unquiet bones Loreth Anne White
It All Comes Back to You,Melissa Wiesner,1836180284,9781836180289,,2024/04/05,2024/04/05,read,read,It all comes back to you Melissa Wiesner****
If I Run,Terri Blackstock,,9780310332435,,2024/04/06,2024/04/06,read,read,If I run Terry Blackstock
The Last Time I Saw You,Liv Constantine,,9780062930507,,2024/04/07,2024/04/07,read,read,The last time I saw you Liv Constantine
His Secret Daughter,Melissa Wiesner,1803148519,9781803148519,,2024/04/08,2024/04/08,read,read,His secret daughter Melissa Wiesner
Don't Make a Sound,Theresa Ragan,1542093872,9781542093873,,2024/04/10,2024/04/10,read,read,Don’t make a sound  T R Ragan
Finlay Donovan Rolls the Dice,Elle Cosimano,1250846013,9781035419104,,2024/04/12,2024/04/12,read,read,Finlay Donovan rolls the dice Elle Cosimano
Things I Wish I'd Told My Mother,Susan Patterson,,9781668616567,,2024/04/13,2024/04/13,read,read,Things I wish I told my mother Susan Patterson
Behind her eyes,Sarah Pinborough,125011117X,9781250111173,,2024/04/15,2024/04/15,read,read,Behind her eyes Sarah Pinborough
Never Trust the Husband,Jessica Payne,1837905681,9781837905683,,2024/04/16,2024/04/16,read,read,Never trust the husband Jessica Payne****
The Patient's Secret,Loreth Anne White,154203406X,9781713621454,,2024/04/17,2024/04/17,read,read,The patients secret Loreth Anne White
Dead Girls Don't Blog,Pamela Frost Dennis,,9780999349458,,2024/04/18,2024/04/18,read,read,Dead girls don’t blog Pamela Frost Dennis
This Is How I Lied,Heather Gudenkauf,,9781094105000,,2024/04/20,2024/04/20,read,read,This is how I lied Heather Gudenkauf
Want to Know a Secret?,Freida McFadden,,9798596462579,,2024/04/21,2024/04/21,read,read,want to know a secret? Frieda McFadden
Only If You're Lucky,Stacy Willingham,,9780008595678,,2024/04/22,2024/04/22,read,read,only if you’re lucky Stacy Willingham
Cul de Sac,Blake Pierce,1640297693,9781640297692,,2024/04/23,2024/04/23,read,read,Cul De Sac Blake Pierce
"Drowned Girls, The",Loreth Anne White,1536614122,9781536614121,,2024/04/25,2024/04/25,read,read,The drowned girls Loreth Anne White
"Lullaby Girl, The",Loreth Anne White,,9781543622171,,2024/04/26,2024/04/26,read,read,The Lullaby girl Loreth Anne White
That's Not My Name,Megan Lally,,9781728270111,,2024/04/27,2024/04/27,read,read,That’s not my name Megan Lally
One of Our Own,Lucinda Berry,1668209624,9781668205068,,2024/04/28,2024/04/28,read,read,One of our own Lucinda Berry
"Girl in the Moss, The",Loreth Anne White,,9781543681185,,2024/04/30,2024/04/30,read,read,The girl in the moss Loreth Anne White
The Truth About the Devlins,Lisa Scottoline,1984883305,9781984883308,,2024/05/01,2024/05/01,read,read,the truth about the Devlins Lisa Scottoline
Breakfast in bed,Sandra Brown,,9785040094660,,2024/05/02,2024/05/02,read,read,Breakfast in Paradise Cara Kent
The Nature of Secrets,Debra Webb,1662508824,9781662508820,,2024/05/03,2024/05/03,read,read,The nature of secrets Debra Webb
All the Little Truths,Debra Webb,,9781662508844,,2024/05/05,2024/05/05,read,read,All the little truths Debra Webb
Do Not Disturb,Freida McFadden,1464227284,9781464228582,,2024/05/06,2024/05/06,read,read,Do not disturb Freida McFadden
Lost to Dune Road,Kara Thomas,,9781662509568,,2024/05/07,2024/05/07,read,read,Lost to dune road Kara Thomas
The lost victim,T. A. Waters,0394482476,9780394482477,,2024/05/08,2024/05/08,read,read,The lost victim Jennifer Hunter
Hurt Mountain,Angela Crook,,9781662515804,,2024/05/11,2024/05/11,read,read,Hurt Mountain Angela Crook
Everyone Is Watching,Heather Gudenkauf,0369747607,9780369747600,,2024/05/12,2024/05/12,read,read,Everyone is watching Heather Gudenkauf
The Wife Upstairs,Freida McFadden,1666526770,9781666527261,,2024/05/13,2024/05/13,read,read,The wife upstairs Freida McFadden
Riley Thorn and the Dead Guy Next Door,Lucy Score,,9781945631672,,2024/05/17,2024/05/17,read,read,The dead guy next door Lucy score
She's Not Sorry,Mary Kubica,,9780369746948,,2024/05/18,2024/05/18,read,read,She’s not sorry Mary Kubica
The Teacher,Freida McFadden,,9781420516227,,2024/05/20,2024/05/20,read,read,The teacher Freida McFadden
The Inmate,Freida McFadden,,9798890983480,,2024/05/23,2024/05/23,read,read,The inmate Freida McFadden
On Her Watch,Melinda Leigh,,9781542038690,,2024/05/25,2024/05/25,read,read,On her watch Melinda Leigh
In the Likely Event,Rebecca Yarros,,9781662511554,,2024/05/27,2024/05/27,read,read,In the likely event Rebecca Yarros
No Exit,Taylor Adams,0062955268,9780062906502,,2024/05/28,2024/05/28,read,read,no exit Taylor Adams
